frame,person,landmark_id,x,y,conf
0,1,0,658.71985,311.7359,0.17428362
0,1,1,654.483,302.4543,0.10917191
0,1,2,663.8799,302.86664,0.04542147
0,1,3,636.988,305.2146,0.76460356
0,1,4,685.6068,305.91354,0.5629253
0,1,5,616.7414,346.99707,0.99183923
0,1,6,708.62524,350.28912,0.98250926
0,1,7,592.15936,413.28442,0.95317554
0,1,8,725.96985,405.1593,0.8542505
0,1,9,598.8834,465.56,0.7818914
0,1,10,693.36707,417.2464,0.5625533
0,1,11,624.27264,480.3805,0.99476177
0,1,12,686.9133,481.32983,0.9919407
0,1,13,611.48773,566.99445,0.9786204
0,1,14,675.3351,575.1333,0.9636221
0,1,15,608.9455,662.1763,0.9085525
0,1,16,668.1304,665.08905,0.8656115
1,1,0,633.51385,300.32242,0.23871176
1,1,1,624.90295,293.0596,0.0973471
1,1,2,633.8858,293.34967,0.09434529
1,1,3,596.8935,294.66196,0.5259816
1,1,4,637.92694,295.78055,0.69384944
1,1,5,574.1518,336.06848,0.99134576
1,1,6,660.9872,331.42908,0.9885344
1,1,7,557.15814,405.83762,0.96688306
1,1,8,689.8515,382.86102,0.9423293
1,1,9,570.8958,457.7328,0.8635794
1,1,10,651.48376,393.7778,0.834556
1,1,11,598.36945,461.50647,0.9983516
1,1,12,656.5852,460.11642,0.997954
1,1,13,601.70825,549.6439,0.9899942
1,1,14,663.6421,549.52325,0.9863977
1,1,15,616.1882,631.1311,0.9395341
1,1,16,667.10175,636.1085,0.9223522
2,1,0,608.74664,300.8302,0.17337711
2,1,1,604.5333,292.31335,0.105278134
2,1,2,610.5207,292.07565,0.043805514
2,1,3,584.61145,295.65106,0.79180956
2,1,4,626.01447,294.5673,0.5599981
2,1,5,565.9731,334.1145,0.996445
2,1,6,653.7992,329.0813,0.9883773
2,1,7,550.381,403.0339,0.9739934
2,1,8,675.9229,377.8835,0.88782716
2,1,9,559.8457,447.05786,0.8275102
2,1,10,638.7562,387.43332,0.62113017
2,1,11,589.84546,458.1481,0.9991641
2,1,12,648.3068,455.808,0.9986051
2,1,13,592.105,534.0271,0.9970613
2,1,14,657.27026,533.4957,0.99472
2,1,15,615.0373,607.4351,0.98760915
2,1,16,662.8811,618.65955,0.98082757
3,1,0,597.6126,300.33643,0.15372369
3,1,1,595.15027,291.35883,0.09837061
3,1,2,598.3179,290.80817,0.03531101
3,1,3,578.39777,294.9701,0.80488545
3,1,4,615.2687,292.13165,0.5820021
3,1,5,561.5541,336.21805,0.9968652
