replica,frames_used,skip_first,persons_mean_postwarmup,persons_max_postwarmup,fps_mean,fps_min,fps_max,response_time_ms_mean,response_time_ms_p95,response_time_ms_max,gt_source,frames_eval_gt,frames_correct,frames_under,frames_over,Acc_S2,R_under,R_over,MAE_count,RMSE_count
S2_R1,223,20,2.484304932735426,3.0,9.201902067339766,8.030421680095744,10.091463307681916,110.4516811969569,129.78017330169678,172.84083366394043,ground_truth.csv,223,219,4,0,0.9820627802690582,0.017937219730941704,0.0,0.017937219730941704,0.133929906036485
S2_R2,227,20,2.4317180616740086,3.0,8.936914186504557,8.116270489957271,10.200193780295528,113.34436055322051,129.2484760284424,163.37108612060547,ground_truth.csv,227,221,1,5,0.973568281938326,0.004405286343612335,0.022026431718061675,0.02643171806167401,0.16257834438102145
S2_R3,230,20,2.7,3.0,9.090341294250491,7.598137548604935,10.89570116784694,113.34649168926737,133.4068775177002,377.2892951965332,ground_truth.csv,230,216,3,11,0.9391304347826087,0.013043478260869565,0.04782608695652174,0.06086956521739131,0.24671758189758447
