replica,scenario,frames_total,frames_used,skip_first,gt_source,fps_mean,fps_min,fps_max,frames_eval_gt,Acc_S1_exact,FNR_miss,FPR_extra,Overcount,response_time_ms_mean,response_time_ms_p95,response_time_ms_max
S1_R1,S1,276,256,20,ground_truth.csv,10.70811572891345,8.749197957285435,11.770940794211594,256,0.97265625,0.015625,0.01171875,0.0,95.20741738379002,125.8024573326111,181.5621852874756
S1_R2,S1,269,249,20,ground_truth.csv,10.147129396118816,8.824520180034822,11.14532009039658,249,1.0,0.0,0.0,0.0,101.005359825839,129.93974685668945,174.0732192993164
S1_R3,S1,264,244,20,ground_truth.csv,10.2270614591795,8.234681023590625,11.60174937745689,244,0.9836065573770492,0.0040983606557377,0.0122950819672131,0.0,100.25977208966114,132.4030876159668,168.36810111999512
