replica,gt_source,frames_used,skip_first,fps_mean,fps_min,fps_max,response_time_ms_mean,response_time_ms_p95,response_time_ms_max,frames_eval_gt,Acc_S1_exact,FNR_miss,FPR_extra,Overcount
S1_R1,ground_truth.csv,256,20,10.70811572891345,8.749197957285435,11.770940794211594,95.20741738379002,125.8024573326111,181.5621852874756,256,0.97265625,0.015625,0.01171875,0.0
S1_R2,ground_truth.csv,249,20,10.147129396118817,8.824520180034822,11.14532009039658,101.005359825839,129.93974685668945,174.0732192993164,249,1.0,0.0,0.0,0.0
S1_R3,ground_truth.csv,244,20,10.227061459179499,8.234681023590625,11.60174937745689,100.25977208966114,132.4030876159668,168.36810111999512,244,0.9836065573770492,0.004098360655737705,0.012295081967213115,0.0
