replica,frames_used,skip_first,frames_fp,FPR,persons_mean,persons_max,fps_mean,fps_min,fps_max,response_time_ms_mean,response_time_ms_p95,response_time_ms_max
S0_R1,266,20,0,0.0,0.0,0.0,11.04372655865825,8.952290041572425,11.878962237676207,92.5466279338177,123.44360351562499,187.6699924468994
S0_R2,275,20,0,0.0,0.0,0.0,11.48207850106969,9.764170389585969,11.873594238644618,87.3804707960649,112.20853328704834,153.31006050109863
S0_R3,273,20,0,0.0,0.0,0.0,11.422036413333531,9.979389956894924,11.844261286711523,88.20206516391629,114.20564651489256,156.87823295593262
