replica,scenario,frames_total,frames_used,skip_first,frames_with_persons,FPR_S0,fps_mean,fps_min,fps_max,response_time_ms_mean,response_time_ms_p95,response_time_ms_min,response_time_ms_max
S0_R1,S0,286,266,20,0,0.0,11.04372655865825,8.952290041572425,11.878962237676207,92.5466279338177,123.443603515625,78.6890983581543,187.6699924468994
S0_R2,S0,295,275,20,0,0.0,11.48207850106969,9.764170389585969,11.873594238644618,87.3804707960649,112.20853328704834,79.58197593688965,153.31006050109863
S0_R3,S0,293,273,20,0,0.0,11.422036413333531,9.979389956894924,11.844261286711523,88.20206516391629,114.20564651489256,77.31103897094727,156.87823295593262
