frame,person,landmark_id,x,y,conf
0,1,0,379.1972,316.11526,0.111328386
0,1,1,378.90524,307.2138,0.13645189
0,1,2,386.18332,305.66486,0.011872393
0,1,3,378.58862,310.02875,0.9442527
0,1,4,424.0424,304.1407,0.307074
0,1,5,378.3186,356.2053,0.99845314
0,1,6,456.45172,344.8952,0.9867648
0,1,7,359.46414,430.26703,0.9858516
0,1,8,472.0597,402.77185,0.7563398
0,1,9,363.57922,485.46967,0.849014
0,1,10,438.18887,438.27237,0.34197447
0,1,11,402.15494,486.10974,0.9992067
0,1,12,459.11484,481.846,0.99781066
0,1,13,385.046,564.5662,0.9961004
0,1,14,459.10046,570.0072,0.98851264
0,1,15,365.80286,637.4292,0.98022765
0,1,16,458.6501,646.39685,0.95839345
1,1,0,342.00772,304.91672,0.13538423
1,1,1,340.02332,295.9914,0.095422894
1,1,2,345.1635,295.75977,0.028889803
1,1,3,326.58023,300.53235,0.8272426
1,1,4,368.53784,298.1886,0.52713305
1,1,5,309.33252,343.5386,0.9963186
1,1,6,398.48206,337.48584,0.99013853
1,1,7,285.27145,403.30884,0.9736945
1,1,8,425.00317,383.37274,0.88553673
1,1,9,295.22522,434.6826,0.81777084
1,1,10,389.54324,393.14487,0.582005
1,1,11,342.94006,472.21188,0.99923325
1,1,12,403.68503,468.85547,0.9987445
1,1,13,348.91342,550.32794,0.99726653
1,1,14,408.95505,542.17554,0.9949568
1,1,15,359.96198,633.51074,0.9897334
1,1,16,423.78638,617.1897,0.9843386
2,1,0,361.65567,304.14917,0.13314489
2,1,1,353.96844,295.2364,0.05691943
2,1,2,360.70786,294.87158,0.053396314
2,1,3,322.81174,298.9167,0.62944597
2,1,4,364.2582,299.11877,0.7308205
2,1,5,297.17807,341.3762,0.9926636
2,1,6,387.28046,337.45184,0.99219817
2,1,7,284.36893,405.45108,0.9431757
2,1,8,419.12918,382.04294,0.92970395
2,1,9,314.4316,417.9607,0.6982326
2,1,10,391.6436,365.09958,0.67497313
2,1,11,332.37003,466.72113,0.9987218
2,1,12,390.67108,464.13913,0.99865025
2,1,13,346.78998,549.4657,0.9957676
2,1,14,388.74414,533.2295,0.9948053
2,1,15,358.83902,633.2322,0.9862439
2,1,16,389.39923,603.5704,0.9841173
3,1,0,370.07462,306.4253,0.16531351
3,1,1,360.99796,297.44318,0.057222955
3,1,2,368.8324,297.67313,0.067366384
3,1,3,325.7436,300.024,0.56620324
3,1,4,366.16135,301.9873,0.7568157
3,1,5,296.1329,340.76306,0.99418855
3,1,6,383.47998,341.90778,0.9939725
3,1,7,285.6758,407.84708,0.96486527
3,1,8,416.72473,385.3588,0.9574399
3,1,9,308.05942,440.19818,0.8152273
3,1,10,394.525,354.0058,0.79802185
3,1,11,326.9606,466.6179,0.9989604
3,1,12,382.3926,465.4982,0.99885166
3,1,13,346.03574,551.41583,0.99560404
3,1,14,382.44492,531.8302,0.9942279
3,1,15,359.24182,634.8457,0.9824058
3,1,16,378.50778,591.07043,0.97890306
4,1,0,375.9306,304.06244,0.15659061
4,1,1,367.22873,294.47314,0.054677807
4,1,2,375.31705,295.60687,0.053510107
4,1,3,332.2811,295.48163,0.5756997
4,1,4,373.63254,299.80695,0.7168517
4,1,5,301.23007,333.03882,0.9959137
4,1,6,388.19644,341.32068,0.99376184
4,1,7,273.37408,392.18124,0.98164237
4,1,8,414.10626,387.96332,0.9606537
4,1,9,268.87988,442.48666,0.8974131
4,1,10,395.30588,367.46133,0.8336165
4,1,11,324.66895,460.59937,0.9993767
4,1,12,379.81873,461.19537,0.99913675
4,1,13,339.18967,544.96387,0.9971245
4,1,14,379.53262,526.791,0.99518895
