frame,person,landmark_id,x,y,conf
0,1,0,505.97473,334.17545,0.38503188
0,1,1,503.9323,326.80185,0.49483126
0,1,2,513.68616,324.93106,0.06640577
0,1,3,512.7374,319.05865,0.896304
0,1,4,547.8207,312.3655,0.18403308
0,1,5,529.68854,363.20557,0.9903718
0,1,6,581.8389,339.7035,0.9215544
0,1,7,519.012,436.36588,0.96448904
0,1,8,579.0279,391.76794,0.58074415
0,1,9,501.75574,468.3357,0.8471279
0,1,10,528.0681,414.74664,0.3818837
0,1,11,564.6259,496.6931,0.9932823
0,1,12,600.47473,484.26254,0.9822274
0,1,13,558.0783,596.6151,0.9681797
0,1,14,588.93146,582.33954,0.9168498
0,1,15,565.5775,680.9218,0.8369133
0,1,16,590.4559,682.5973,0.7222602
1,1,0,544.89154,317.56467,0.124983564
1,1,1,544.4609,307.2987,0.18923149
1,1,2,551.3611,307.62674,0.01249683
1,1,3,545.6113,305.58752,0.9322686
1,1,4,585.2145,304.4222,0.16334972
1,1,5,547.0505,343.5813,0.9968458
1,1,6,616.5212,342.2551,0.94606787
1,1,7,535.2896,412.60904,0.9837338
1,1,8,620.82965,408.32626,0.521196
1,1,9,527.92004,469.46454,0.8593343
1,1,10,582.7158,458.72623,0.21392477
1,1,11,563.4916,484.50433,0.99810696
1,1,12,611.2751,482.21634,0.9926386
1,1,13,540.16077,572.39954,0.991321
1,1,14,592.18726,578.5724,0.96416414
1,1,15,562.53235,660.38525,0.95341843
1,1,16,597.57715,667.3121,0.88113254
2,1,0,553.5692,312.36914,0.15610112
2,1,1,553.5146,302.6766,0.20027435
2,1,2,560.5642,303.1187,0.017683748
2,1,3,552.7472,303.47278,0.9251656
2,1,4,593.2913,303.08636,0.20404798
2,1,5,546.1229,341.89203,0.9971564
2,1,6,623.99927,343.96478,0.96389294
2,1,7,528.04395,410.17996,0.9846357
2,1,8,625.55585,408.7656,0.63437635
2,1,9,518.99677,458.39856,0.8802629
2,1,10,587.93475,433.8635,0.3126284
2,1,11,554.8975,475.9585,0.998553
2,1,12,609.352,475.43903,0.995061
2,1,13,529.63824,554.0121,0.9949157
2,1,14,595.338,564.0364,0.9811462
2,1,15,553.4029,636.8419,0.97766644
2,1,16,597.863,647.76575,0.9447583
3,1,0,570.1449,308.49634,0.10591327
3,1,1,567.44916,298.71783,0.09427908
3,1,2,572.95074,299.44263,0.016548108
3,1,3,552.05585,301.3151,0.8705989
3,1,4,593.58325,302.12878,0.40943095
3,1,5,535.95483,340.96783,0.9980281
3,1,6,619.068,343.60858,0.9806173
3,1,7,499.28485,397.6066,0.98889124
3,1,8,630.44916,394.19226,0.7805579
3,1,9,468.30505,439.34207,0.89211583
3,1,10,592.4327,405.46292,0.43478808
3,1,11,549.14667,469.64008,0.99932337
3,1,12,604.692,470.2008,0.9979634
3,1,13,537.8646,542.8929,0.99684745
3,1,14,597.8359,554.09204,0.98951715
3,1,15,538.9258,616.5758,0.9833813
3,1,16,594.2477,636.81006,0.95973635
4,1,0,579.48303,304.39316,0.15377823
4,1,1,572.49835,295.42688,0.07396166
4,1,2,579.58057,296.042,0.037810236
4,1,3,544.8855,298.43512,0.7183203
4,1,4,585.3389,300.8064,0.6109239
4,1,5,521.683,337.9289,0.9974567
4,1,6,607.09045,341.4045,0.9897774
4,1,7,481.3238,393.9212,0.987941
4,1,8,627.32166,389.6965,0.9206284
4,1,9,448.11038,437.25076,0.9151976
4,1,10,597.06775,402.58832,0.73739713
4,1,11,541.3784,459.88403,0.9993235
4,1,12,596.6675,461.1024,0.9986552
4,1,13,537.4019,535.08856,0.9965301
4,1,14,594.28015,543.3396,0.9922976
4,1,15,541.3307,607.6238,0.97967076
4,1,16,592.4043,626.62103,0.9621503
5,1,0,568.4476,299.8531,0.1629839
5,1,1,560.40125,291.17804,0.06841352
5,1,2,568.3447,291.14233,0.04984169
5,1,3,530.55963,293.29932,0.64737785
5,1,4,571.1701,294.356,0.641668
5,1,5,507.5673,332.48865,0.99596334
5,1,6,591.92,331.6872,0.99024
5,1,7,486.89328,398.22995,0.9769981
5,1,8,616.46936,379.29156,0.92911243
5,1,9,485.43097,437.1043,0.8622977
5,1,10,585.9099,382.59912,0.74635
5,1,11,529.35126,454.5305,0.9991548
5,1,12,583.98334,454.59735,0.99872535
5,1,13,533.8324,531.2705,0.99658066
5,1,14,586.0575,536.19885,0.99431497
5,1,15,542.5204,607.96814,0.98307794
5,1,16,582.67926,621.73706,0.9743807
6,1,0,566.0811,294.62396,0.32425475
6,1,1,556.0452,288.1905,0.12947215
6,1,2,565.69434,288.16086,0.1828944
6,1,3,524.85004,289.9003,0.5139525
6,1,4,562.91187,291.50882,0.7443191
6,1,5,499.88348,331.38513,0.98651797
6,1,6,582.8491,327.7307,0.98814756
6,1,7,491.84113,394.29132,0.9069587
6,1,8,610.60925,375.8905,0.9294553
6,1,9,509.12625,414.92166,0.70513916
6,1,10,574.6595,379.49234,0.7801334
6,1,11,522.65686,457.34515,0.99658537
6,1,12,577.39294,454.71326,0.99699783
6,1,13,527.60266,530.71326,0.98653203
6,1,14,589.52545,525.39465,0.9871646
6,1,15,536.3473,605.6238,0.9453329
6,1,16,583.5434,600.99146,0.94523704
7,1,0,570.3415,294.015,0.33566007
7,1,1,560.1355,287.59067,0.13115647
7,1,2,569.0101,287.7296,0.21581417
7,1,3,527.7478,288.22443,0.47952402
7,1,4,562.74023,291.0232,0.7616546
7,1,5,500.9254,325.6458,0.9813214
7,1,6,580.2605,326.7382,0.9879457
7,1,7,488.52448,381.1925,0.8627303
7,1,8,607.38007,374.3543,0.9275253
