timestamp,frame,persons,persons_raw,fps,sampling_rate_hz,response_time_ms,avg_landmarks,hyst_enabled,hyst_m_in,hyst_m_out,hyst_window
1766077594.892937,0,0,0,4.315793589545712,4.315793589545712,231.70709609985352,0,1,3,5,5
1766077595.0914838,1,0,0,4.653344171856171,4.653344171856171,130.01704216003418,0,1,3,5,5
1766077595.244731,2,0,0,4.944644076391817,4.944644076391817,132.16423988342285,0,1,3,5,5
1766077595.415172,3,0,0,5.158504670779169,5.158504670779169,141.17813110351562,0,1,3,5,5
1766077595.566377,4,0,0,5.450234200119969,5.450234200119969,123.82674217224121,0,1,3,5,5
1766077595.7431622,5,0,0,5.556116146506681,5.556116146506681,153.63216400146484,0,1,3,5,5
1766077595.892906,6,0,0,5.778695970886331,5.778695970886331,128.50308418273926,0,1,3,5,5
1766077596.016567,7,0,0,6.130662323074988,6.130662323074988,107.54585266113281,0,1,3,5,5
1766077596.1327438,8,0,0,6.515092779099717,6.515092779099717,100.2509593963623,0,1,3,5,5
1766077596.2403998,9,0,0,6.951047203172655,6.951047203172655,91.95709228515625,0,1,3,5,5
1766077596.368709,10,0,0,7.147509137193225,7.147509137193225,112.16211318969727,0,1,3,5,5
1766077596.495563,11,0,0,7.333919937404802,7.333919937404802,110.96787452697754,0,1,3,5,5
1766077596.598154,12,0,0,7.7519393773339385,7.7519393773339385,86.84992790222168,0,1,3,5,5
1766077596.701421,13,0,0,8.117022522616704,8.117022522616704,87.69798278808594,0,1,3,5,5
1766077596.807497,14,0,0,8.406025678484022,8.406025678484022,90.850830078125,0,1,3,5,5
1766077596.929376,15,0,0,8.506738567602847,8.506738567602847,106.23431205749512,0,1,3,5,5
1766077597.028348,16,0,0,8.853886284347322,8.853886284347322,83.48488807678223,0,1,3,5,5
1766077597.131501,17,0,0,9.108917356499344,9.108917356499344,87.68701553344727,0,1,3,5,5
1766077597.2342532,18,0,0,9.341498429215731,9.341498429215731,87.45288848876953,0,1,3,5,5
1766077597.333704,19,0,0,9.58849997054042,9.58849997054042,84.66315269470215,0,1,3,5,5
1766077597.465041,20,0,0,9.496193368792838,9.496193368792838,115.40102958679199,0,1,3,5,5
1766077597.564437,21,0,0,9.731378895080487,9.731378895080487,84.40208435058594,0,1,3,5,5
1766077597.663904,22,0,0,9.948577107830621,9.948577107830621,84.00988578796387,0,1,3,5,5
1766077597.7636118,23,0,0,10.137922136835467,10.137922136835467,84.44499969482422,0,1,3,5,5
1766077597.867797,24,0,0,10.25363800067677,10.25363800067677,88.53411674499512,0,1,3,5,5
1766077597.995911,25,0,0,10.116483933360776,10.116483933360776,112.58602142333984,0,1,3,5,5
1766077598.095552,26,0,0,10.290994067643163,10.290994067643163,84.3057632446289,0,1,3,5,5
1766077598.1927848,27,0,0,10.481137180696642,10.481137180696642,82.01813697814941,0,1,3,5,5
1766077598.2956102,28,0,0,10.576421458417922,10.576421458417922,87.45861053466797,0,1,3,5,5
1766077598.395751,29,0,0,10.714596252373363,10.714596252373363,83.62483978271484,0,1,3,5,5
1766077598.494665,30,0,0,10.839366238660524,10.839366238660524,83.59599113464355,0,1,3,5,5
1766077598.5948029,31,0,0,10.934008790804228,10.934008790804228,84.84792709350586,0,1,3,5,5
1766077598.695356,32,0,0,11.015506018969607,11.015506018969607,85.1137638092041,0,1,3,5,5
1766077598.79368,33,0,0,11.117399646324493,11.117399646324493,83.09483528137207,0,1,3,5,5
1766077598.894422,34,0,0,11.177554135015244,11.177554135015244,85.33191680908203,0,1,3,5,5
1766077598.992737,35,0,0,11.267397346436702,11.267397346436702,82.8089714050293,0,1,3,5,5
1766077599.1020238,36,0,0,11.207356831536474,11.207356831536474,93.74713897705078,0,1,3,5,5
1766077599.23009,37,0,0,10.977386866794685,10.977386866794685,112.26296424865723,0,1,3,5,5
1766077599.330658,38,0,0,11.085573288220838,11.085573288220838,82.92388916015625,0,1,3,5,5
1766077599.4270232,39,0,0,11.212407933761957,11.212407933761957,80.94596862792969,0,1,3,5,5
1766077599.5266829,40,0,0,11.2769701993889,11.2769701993889,84.33103561401367,0,1,3,5,5
1766077599.628649,41,0,0,11.302717448809503,11.302717448809503,86.69686317443848,0,1,3,5,5
1766077599.727808,42,0,0,11.36589105099566,11.36589105099566,83.79101753234863,0,1,3,5,5
1766077599.827869,43,0,0,11.414769852399585,11.414769852399585,84.35487747192383,0,1,3,5,5
1766077599.92838,44,0,0,11.45644336235995,11.45644336235995,84.52010154724121,0,1,3,5,5
1766077600.0287921,45,0,0,11.484838784951009,11.484838784951009,85.17599105834961,0,1,3,5,5
1766077600.128235,46,0,0,11.535364665928084,11.535364665928084,83.40215682983398,0,1,3,5,5
1766077600.235028,47,0,0,11.474020915453455,11.474020915453455,91.55893325805664,0,1,3,5,5
1766077600.369374,48,0,0,11.166854249063665,11.166854249063665,119.01426315307617,0,1,3,5,5
1766077600.500712,49,0,0,10.915969890125979,10.915969890125979,115.49997329711914,0,1,3,5,5
